© 2000-2023 QIAGEN. All rights reserved.

Diseases and Bio Functions	WT.Adult.CtrlRescue.vs.WT.Adult.Alone.sig2 - 2023-02-07 03:42 PM	HD.Neonatal.Rescue.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.Alone.vs.HD.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Alone.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Neonatal.CtrlRescue.vs.WT.Neonatal.Alone.sig - 2022-12-10 05:36 PM	WT.Adult.Rescue.vs.WT.Adult.Alone.sig - 2022-12-10 05:35 PM	WT.Adult.CtrlRescue.vs.WT.Neonatal.CtrlRescue.sig - 2022-12-10 05:35 PM	WT.Adult.Rescue.vs.HD.Neonatal.Rescue.sig - 2022-12-10 05:35 PM
Detachment of thyroid tumor cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Size of embryo	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Activation of dexamethasone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diffuse B-cell lymphoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Processing of rRNA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Length of neurites	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bladder cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of telencephalon	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thickness of cerebral cortex	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Colon adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Binding of ATF binding site	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cecum adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gonadal tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Valvulopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hypotonia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Growth arrest	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Progressive central nervous system tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Entry into S phase of melanoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Function of lysosome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Length of actin stress fibers	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Inflammation of breast	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Global developmental delay	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Myelodysplastic syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lissencephaly	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal dominant spastic paraplegia 10 with peripheral neuropathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Size of dendritic trees	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cervical incompetence	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Palate squamous cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Benign uterine disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of embryo	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hereditary elliptocytosis due to deficiency of protein 4.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adrenal cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Celiac disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Brain glioma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Alternative splicing of mRNA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of Purkinje cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cell survival of cancer-associated fibroblasts	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Folding of glycoprotein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Exercise intolerance, cardiomyopathy and septo-optic dysplasia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adult-onset ataxia and polyneuropathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Testicular tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of lesion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lichen planus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Growth of Bacteroides fragilis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of heart ventricle	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Age-related macular degeneration type 7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stage I epithelial cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
46, XY sex reversal type 9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Endometriosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Allergy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Accumulation of choline	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lateral epicondylitis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stabilization of protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of organ of Corti	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Modification of rRNA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plasma cell neoplasm	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of endocrine gland tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Grade 3-4 glioma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
T-lymphoblastic leukemia/lymphoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Low back pain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of central nervous system cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Conjugation of thymocytes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of granule cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dissemination of Staphylococcus aureus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adult leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of bone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mitochondrial respiratory chain deficiency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diameter of left common carotid artery	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Length of dendritic spines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Progression of glioma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Benign connective or soft tissue neoplasm	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary oral squamous cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of brain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of hippocampus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Organization of synapse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in interphase of tumor cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Degradation of epinephrine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hyperpolarization of kidney cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Axonal Charcot-Marie-Tooth disease type 2W	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stage I-II cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diamond-blackfan anemia type 7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Malignant neoplasm of aerodigestive tract	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chromophobe renal cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of metencephalon	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Amyotrophic lateral sclerosis type 20	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of telencephalon	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Colony formation of connective tissue cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chronic respiratory disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Proliferation of oligodendrocyte precursor cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Delay in collapse of mammary alveolus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Redistribution of cholesterol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid oncocytic carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial british dementia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Organization of neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Peripheral T-cell lymphoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid adenoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Histiocytic neoplasm	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Female genital carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lebers optic atrophy with dystonia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Targeting of protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neck neoplasm	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphogenesis of mammary duct	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal dominant mental retardation type 32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mature T-cell or NK-cell neoplasm	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal recessive mucopolysaccharidosis type IIIB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Allergic pulmonary eosinophilia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Disorganization of inner plexiform layer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of uterine carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of forebrain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of cardiac muscle	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Maturation of synapse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diameter of right common carotid artery	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neurodevelopmental disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Upper gastrointestinal carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal dominant amyloidosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Fusion of small unilamellar vesicles	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Serous adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Advanced lung carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Relapsed acute leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Leigh syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cerebral malformation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neuroblastic tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid follicular adenoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of pons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Colorectal adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Fibrosis of cornea	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphogenesis of cranial nerve	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Formation of cardinal vein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Processing of protein fragment	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cockayne syndrome type II	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Length of cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Schizophrenia or schizoaffective disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of distal convoluted tubule	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Small intestine tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Quantity of cochlea cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Parkinsonism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Assembly of Respiratory chain complex I	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Exocytosis of secretory granules	N/A	0.0	N/A	N/A	N/A	N/A	N/A	N/A
DNA damage checkpoint	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Prostatic adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of ventricular wall	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stage I cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Colony formation of erythroid precursor cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Grade 3-4 tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Serous ovarian adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary head and neck cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Congenital generalized lipodystrophy type 2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Endometrioid carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Gastric cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stage I-IIIA non-small cell lung cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of liver	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tetralogy of Fallot	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chronic psoriasis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Tonsillar squamous cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Advanced non-small cell lung carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Intellectual disability with ophthalmic disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Initiation of translation of mRNA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hereditary myopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Postoperative dental pain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G1 phase of carcinoma cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in interphase of bone cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Turnover of actin filaments	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Inhibition of carbohydrate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transient infantile mitochondrial myopathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Salivary gland cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Syndromic developmental delay	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hypertrophic scarring	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Benign neoplasm of endocrine gland	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Modification of ovarian cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Foliation of cerebellum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Very low birth weight	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial syndromic intellectual disability	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Half-life of leukotriene A4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MYCN amplification positive neuroblastoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Primary head and neck squamous cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Maturation of neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hyperplastic thyroid nodule	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Delay in interphase of connective tissue cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metastatic small cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Disulfide bonding of protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adult acute leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Plaque psoriasis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
COVID-19	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dominant mental retardation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Advanced stage carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of Purkinje's layer of cerebellum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Familial frontotemporal dementia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Contraction of skin cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Syndromic mental retardation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Arrest in interphase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stabilization of synapse	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adult acute myeloid leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of cerebellum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Syndromic neurodevelopmental disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Papillary carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Refractory acute myeloid leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of bent tail	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of angioma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sinus pressure	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Heterotopic ossification	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Early stage diabetic nephropathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Spreading depression of cerebral cortex	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mild to moderate stage acute pain	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cytochrome c oxidase deficiency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
G1/S phase transition of lung cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Active stage tendonitis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Clear-cell adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of neuroglia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Malignant neoplasm of connective or soft tissue of abdomen	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Removal of carbohydrate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Endometrium tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metabolic syndrome X	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of cellular protrusions	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Endometrial cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neuromuscular disease with neuropathy	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Juvenile rheumatoid arthritis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Endometrial carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autism or intellectual disability	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mitochondrial DNA-related disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Intermediate disease stage peripheral arterial disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Soft palate squamous cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Removal of superoxide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hyperpolarization of monocyte-derived dendritic cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neuroblastoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chemorepulsion of neutrophils	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dyskeratosis congenita or aplastic anemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Philadelphia chromosome negative leukemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Age-related macular degeneration	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Aplastic anemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Progressive neuromuscular disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Elimination of dopamine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Sinus congestion	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Binding of NF-E2 binding site	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Squamous-cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neonatal sepsis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diffuse lymphoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adrenal cortex carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Autosomal recessive congenital eye anomaly	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Head and neck adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mature T-cell neoplasm	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Development of urinary tract tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Transitional-cell carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pain in lower limb	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diffuse small-cell lymphoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of thin ventricular wall	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Asbestosis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Dephosphorylation of ADP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Congenital aplastic anemia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cortical dysplasia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Uterine leiomyoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of cerebellar cortex	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid oncocytoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormality of peripheral nervous system	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ulcer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of neurons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Germ cell tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Excitatory postsynaptic current	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hepatitis C virus-related hepatocellular carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Anaplastic carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Vocalization	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mass of tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hypoexcitation of sympathetic neuron	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Chronic inflammatory disorder	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Bladder carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Multiple congenital anomalies of skeletal bone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Progressive parkinsonism	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Duodenal carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Entry into G1 phase of bone cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of dendritic spines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cytochrome c oxidase I deficiency	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Density of axodendritic synapses	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Adhesion of Schwann cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Diameter of sensory axons	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Abnormal morphology of facial nucleus	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Parkinson's disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Excretion of dopamine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Papillary adenocarcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hairpin sperm flagellum	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Drug ototoxicity - deafness	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hereditary cancer-predisposing syndrome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Radiosensitivity of cervical cancer cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Early stage kidney disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Thyroid nodule	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Alzheimer disease or frontotemporal dementia	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stabilization of mRNA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Acute myeloid leukemia with recurrent genetic abnormalities	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Morphology of central nervous system	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Neonatal late-onset sepsis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Delay in initiation of calcium response of cardiomyocytes	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Alzheimer disease	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Early stage tumor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Stage I-IV non-small cell lung cancer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Reactivation of cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Grade 2-3 glioma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Innervation of Purkinje cells	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Low-grade lymphoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hyperpolarization of epithelial cell lines	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Area of left common carotid artery	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Metastatic neuroendocrine carcinoma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
